FECHA,TMAX,TMIN,NOMBRE
19/11/20,, 15.8,MENDOZA OBSERVATORIO
19/11/20,,,MERCEDES AERO (CTES)
19/11/20, 25.8, 11.6,MERLO AERO
19/11/20, 28.6, 13.6,METAN
19/11/20, 29.5, 16.5,MONTE CASEROS AERO
19/11/20, 25.0, 14.1,MORON AERO
19/11/20, 33.7, 16.4,NEUQUEN AERO
19/11/20, 27.1, 12.1,NUEVE DE JULIO
19/11/20, 31.5, 15.0,OBERA
19/11/20, 24.8,  7.9,OLAVARRIA AERO
19/11/20, 32.0, 16.3,ORAN AERO
19/11/20, 27.7, 16.4,PARANA AERO
19/11/20, 34.5,  8.0,PASO DE INDIOS
19/11/20, 29.5, 15.2,PASO DE LOS LIBRES AERO
19/11/20, 27.8, 10.1,PEHUAJO AERO
19/11/20, 27.0,  8.4,PERITO MORENO AERO
19/11/20, 27.7, 10.8,PIGUE AERO
19/11/20, 29.1, 14.4,PILAR OBSERVATORIO
19/11/20, 30.5, 17.8,POSADAS AERO
19/11/20, 31.5, 13.0,PRESIDENCIA ROQUE SAENZ PE�A AERO
19/11/20, 28.0, 12.5,PUERTO DESEADO AERO
19/11/20, 31.4,  8.4,PUERTO MADRYN AERO
19/11/20, 21.8, 13.0,PUNTA INDIO B.A.
19/11/20, 29.2, 14.5,RAFAELA AERO
19/11/20, 30.6, 14.2,RECONQUISTA AERO
19/11/20, 32.0, 13.1,RESISTENCIA AERO
19/11/20, 32.6, 16.0,RIO COLORADO
19/11/20, 27.0, 13.5,RIO CUARTO AERO
19/11/20, 27.0, 10.6,RIO GALLEGOS AERO
19/11/20, 19.5, 11.0,RIO GRANDE B.A.
19/11/20, 34.0, 15.4,RIVADAVIA
19/11/20, 28.5, 15.9,ROSARIO AERO
19/11/20, 25.3,  9.9,SALTA AERO
19/11/20, 35.0, 11.6,SAN ANTONIO OESTE AERO
19/11/20, 29.5,  8.0,SAN CARLOS (MZA)
19/11/20, 23.7, 16.8,SAN FERNANDO AERO
19/11/20, 32.6, 14.8,SAN JUAN AERO
19/11/20, 26.9, 16.9,SAN JULIAN AERO
19/11/20, 29.5, 15.4,SAN LUIS AERO
19/11/20, 30.2, 15.1,SAN MARTIN (MZA)
19/11/20, 29.0, 15.3,SAN RAFAEL AERO
19/11/20, 30.5, 13.8,SANTA CRUZ AERO
19/11/20, 31.7, 13.5,SANTA ROSA AERO
19/11/20, 27.7, 11.4,SANTA ROSA DE CONLARA AERO
19/11/20, 32.0, 14.0,SANTIAGO DEL ESTERO AERO
19/11/20, 30.0, 16.1,SAUCE VIEJO AERO
19/11/20, 29.6, 14.5,SUNCHALES AERO
19/11/20, 24.6,  4.8,TANDIL AERO
19/11/20, 30.5, 16.6,TARTAGAL AERO
19/11/20, 33.2, 14.0,TERMAS DE RIO HONDO AERO
19/11/20, 29.5, 13.5,TINOGASTA
19/11/20, 34.0,  8.7,TRELEW AERO
19/11/20, 29.7, 11.9,TRENQUE LAUQUEN
19/11/20, 26.5,  7.8,TRES ARROYOS
19/11/20, 29.9, 15.6,TUCUMAN AERO
19/11/20, 12.4,  9.0,USHUAIA AERO
19/11/20,,  9.0,USPALLATA
19/11/20, 28.6, 12.0,VENADO TUERTO AERO
19/11/20, 30.5, 14.4,VICTORICA
19/11/20, 30.5,  9.3,VIEDMA AERO
19/11/20, 27.5, 10.6,VILLA DE MARIA DEL RIO SECO
19/11/20, 30.5, 11.0,VILLA DOLORES AERO
19/11/20, 19.0,  8.5,VILLA GESELL AERO
19/11/20, 31.0,  9.8,VILLA REYNOLDS AERO
